Year,rainfall_10,nino12_04,nino12_05,nino12_06,nino12_07,nino12_08,nino12_09,nino3_04,nino3_05,nino3_06,nino3_07,nino3_08,nino3_09,rainfall_04,rainfall_05,rainfall_06,rainfall_07,rainfall_08,rainfall_09,nino4_04,nino4_05,nino4_06,nino4_07,nino4_08,nino4_09,nino34_04,nino34_05,nino34_06,nino34_07,nino34_08,nino34_09,tsa_04,tsa_05,tsa_06,tsa_07,tsa_08,tsa_09
1950,24.33,-1.54,-1.35,-1.36,-1.27,-0.62,-0.96,-0.76,-1.19,-0.82,-0.67,-0.54,-0.72,-25.13,-4.35,54.34,-23.74,-44.33,-54.91,-1.04,-0.8,-0.49,-0.82,-1.0,-1.11,-1.27,-1.54,-1.0,-0.78,-0.89,-0.96,-0.24,-0.41,-0.29,-0.21,-0.38,-0.54
1951,14.23,-0.23,0.29,1.61,1.94,1.34,0.82,0.03,0.09,0.17,0.88,0.8,0.84,104.87,74.05,142.94,-5.94,-28.73,68.99,-0.03,0.34,0.28,0.1,-0.3,-0.11,-0.02,0.2,-0.08,0.4,0.28,0.59,-0.58,-0.44,-0.32,-0.16,0.01,0.02
1952,-36.57,-0.51,-0.27,-0.41,-0.49,-0.61,-0.88,0.19,0.09,-0.34,-0.45,-0.43,-0.43,140.87,54.55,-12.66,-18.54,33.07,-45.11,0.12,0.01,-0.21,-0.41,-0.57,-0.22,0.37,0.37,-0.11,-0.25,-0.31,-0.16,-0.15,-0.26,0.01,-0.12,-0.05,-0.07
1953,21.23,1.54,1.11,0.54,0.25,0.48,0.42,0.43,0.4,0.45,0.28,0.2,0.48,-108.53,-62.25,-84.46,87.16,-50.23,-45.31,0.05,0.16,0.37,0.31,0.35,0.09,0.57,0.55,0.59,0.43,0.34,0.43,-0.36,-0.21,-0.16,-0.12,-0.1,0.01
1954,-16.27,-2.5,-2.28,-1.91,-2.24,-1.54,-1.44,-1.32,-1.2,-1.1,-1.02,-1.2,-1.33,-74.23,-167.75,-6.76,-28.54,-23.73,-15.51,-0.27,-0.32,-0.39,-0.64,-0.84,-0.97,-0.76,-0.67,-0.55,-0.74,-1.05,-1.17,-0.47,-0.68,-0.63,-0.71,-0.43,-0.28
1955,6.53,-1.11,-1.78,-1.66,-1.08,-1.1,-1.03,-0.95,-1.32,-1.13,-0.92,-1.07,-1.34,-42.43,42.95,-36.56,2.16,-51.03,3.39,-0.67,-0.53,-0.47,-0.51,-0.8,-0.66,-0.95,-0.82,-0.77,-0.74,-0.91,-1.05,-0.59,-0.41,-0.5,-0.32,-0.5,-0.44
1956,55.73,-0.94,-1.02,-0.85,-0.26,-0.13,-0.64,-0.52,-0.27,-0.35,-0.58,-0.7,-0.74,-36.03,-78.05,13.14,-7.84,-2.13,35.69,-0.73,-0.74,-0.62,-0.7,-1.0,-1.01,-0.83,-0.44,-0.51,-0.67,-0.86,-0.7,-0.8,-0.52,-0.49,-0.31,-0.23,-0.22
1957,27.73,1.2,2.1,1.83,1.78,1.24,1.12,0.44,0.72,0.89,1.32,1.12,0.78,14.17,-156.15,-23.96,-62.24,-18.03,-55.51,0.19,0.3,-0.06,-0.16,0.2,0.32,0.49,0.63,0.69,0.96,0.92,0.74,-0.1,-0.33,-0.17,-0.36,-0.25,-0.38
1958,-22.37,0.99,0.59,0.58,0.39,-0.26,0.12,0.38,0.29,0.26,0.07,0.03,-0.18,36.67,-147.95,-35.76,-26.24,8.07,-39.31,0.58,0.41,0.36,0.2,0.23,0.18,0.62,0.54,0.57,0.19,0.06,-0.05,-0.7,-1.14,-1.12,-0.56,-0.68,-0.66
1959,-100.87,0.23,-0.05,-0.34,-0.31,-0.78,-0.36,0.06,-0.2,-0.33,-0.69,-0.64,-0.58,-122.53,-110.65,2.44,-35.94,4.27,-32.71,0.26,0.04,-0.29,-0.23,-0.14,-0.16,0.2,-0.05,-0.24,-0.62,-0.52,-0.59,0.13,-0.24,-0.2,-0.29,-0.24,-0.13
