Year,rainfall_08,nino12_02,nino12_03,nino12_04,nino12_05,nino12_06,nino12_07,nino3_02,nino3_03,nino3_04,nino3_05,nino3_06,nino3_07,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_06,rainfall_07,nino4_02,nino4_03,nino4_04,nino4_05,nino4_06,nino4_07,nino34_02,nino34_03,nino34_04,nino34_05,nino34_06,nino34_07,tsa_02,tsa_03,tsa_04,tsa_05,tsa_06,tsa_07
1950,-44.33,-1.55,-1.01,-1.54,-1.35,-1.36,-1.27,-1.26,-0.56,-0.76,-1.19,-0.82,-0.67,-39.58,123.84,-25.13,-4.35,54.34,-23.74,-1.24,-1.27,-1.04,-0.8,-0.49,-0.82,-1.44,-1.11,-1.27,-1.54,-1.0,-0.78,0.09,0.04,-0.24,-0.41,-0.29,-0.21
1951,-28.73,-0.84,-0.74,-0.23,0.29,1.61,1.94,-0.51,-0.05,0.03,0.09,0.17,0.88,-118.98,-0.26,104.87,74.05,142.94,-5.94,-0.9,-0.33,-0.03,0.34,0.28,0.1,-0.92,-0.17,-0.02,0.2,-0.08,0.4,-0.76,-0.95,-0.58,-0.44,-0.32,-0.16
1952,33.07,0.07,0.01,-0.51,-0.27,-0.41,-0.49,0.17,0.2,0.19,0.09,-0.34,-0.45,143.42,18.14,140.87,54.55,-12.66,-18.54,0.05,-0.03,0.12,0.01,-0.21,-0.41,0.16,0.17,0.37,0.37,-0.11,-0.25,-0.07,-0.16,-0.15,-0.26,0.01,-0.12
1953,-50.23,0.36,0.87,1.54,1.11,0.54,0.25,0.45,0.43,0.43,0.4,0.45,0.28,144.92,-33.06,-108.53,-62.25,-84.46,87.16,-0.05,-0.08,0.05,0.16,0.37,0.31,0.55,0.45,0.57,0.55,0.59,0.43,-0.31,-0.07,-0.36,-0.21,-0.16,-0.12
1954,-23.73,-0.8,-1.07,-2.5,-2.28,-1.91,-2.24,0.03,-0.27,-1.32,-1.2,-1.1,-1.02,-6.18,3.24,-74.23,-167.75,-6.76,-28.54,0.23,-0.14,-0.27,-0.32,-0.39,-0.64,0.41,-0.15,-0.76,-0.67,-0.55,-0.74,-0.56,-0.6,-0.47,-0.68,-0.63,-0.71
1955,-51.03,-1.01,-1.14,-1.11,-1.78,-1.66,-1.08,-0.54,-0.7,-0.95,-1.32,-1.13,-0.92,84.02,10.54,-42.43,42.95,-36.56,2.16,-0.65,-0.57,-0.67,-0.53,-0.47,-0.51,-0.78,-0.79,-0.95,-0.82,-0.77,-0.74,-0.66,-0.53,-0.59,-0.41,-0.5,-0.32
1956,-2.13,-0.68,-0.34,-0.94,-1.02,-0.85,-0.26,-0.39,-0.29,-0.52,-0.27,-0.35,-0.58,-58.48,-61.96,-36.03,-78.05,13.14,-7.84,-1.01,-0.81,-0.73,-0.74,-0.62,-0.7,-0.58,-0.57,-0.83,-0.44,-0.51,-0.67,-0.75,-0.65,-0.8,-0.52,-0.49,-0.31
1957,-18.03,0.02,0.93,1.2,2.1,1.83,1.78,-0.21,0.3,0.44,0.72,0.89,1.32,-79.28,-44.46,14.17,-156.15,-23.96,-62.24,-0.08,-0.06,0.19,0.3,-0.06,-0.16,-0.17,0.24,0.49,0.63,0.69,0.96,-0.17,-0.15,-0.1,-0.33,-0.17,-0.36
1958,8.07,0.59,0.78,0.99,0.59,0.58,0.39,1.04,0.59,0.38,0.29,0.26,0.07,-95.08,-76.36,36.67,-147.95,-35.76,-26.24,1.12,0.92,0.58,0.41,0.36,0.2,1.55,1.02,0.62,0.54,0.57,0.19,-0.32,-0.65,-0.7,-1.14,-1.12,-0.56
1959,4.27,-0.12,0.5,0.23,-0.05,-0.34,-0.31,0.02,-0.14,0.06,-0.2,-0.33,-0.69,-51.78,-53.36,-122.53,-110.65,2.44,-35.94,0.33,0.17,0.26,0.04,-0.29,-0.23,0.52,0.24,0.2,-0.05,-0.24,-0.62,-0.01,0.2,0.13,-0.24,-0.2,-0.29
