Year,rainfall_04,rainfall_01,rainfall_02,rainfall_03,rainfall_10,rainfall_11,rainfall_12,nino12_01,nino12_02,nino12_03,nino12_10,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_10,nino3_11,nino3_12,nino34_01,nino34_02,nino34_03,nino34_10,nino34_11,nino34_12,nino4_01,nino4_02,nino4_03,nino4_10,nino4_11,nino4_12,tsa_01,tsa_02,tsa_03,tsa_10,tsa_11,tsa_12
1950,0.013569987053537432,0.01724854087675201,0.012714328795450628,0.02050018375250893,0.01810499291311208,0.0104522202456442,0.022926404824055526,0.014462527776743261,0.014246232038505228,0.014566524694991746,0.014610083424011605,0.014178271220005478,0.014528747877617605,0.014125398461848388,0.014425014102667418,0.014838388527515062,0.014839627459086157,0.014655584679738246,0.014656334231805932,0.014230382523650656,0.014331914893617022,0.014533944115647394,0.014689008804316957,0.014610195882322857,0.014482848958066372,0.014618640649287086,0.014483443637109572,0.01446828644088756,0.014548559729713962,0.014555067201732596,0.014579512985628389,0.08,0.15,0.12,-0.54,-0.46,-0.92
1951,0.019757634605132895,0.014644485153154687,0.008438523177666723,0.014653084686348601,0.01675447276228171,0.01174598040634283,0.013915025934694484,0.015014959095254056,0.014661966717803985,0.014722347265025337,0.015792528110264777,0.01566702481021903,0.015254519426041217,0.014789007785559388,0.014856728411406468,0.015123634594195523,0.015642098095956035,0.015733112177876787,0.015546784751636506,0.014510305744710022,0.01462695035460993,0.015057790260919962,0.015404714569724512,0.015417137856375693,0.015320040777506308,0.014731588203972527,0.014666983362663703,0.01497368180522923,0.015116075548554427,0.01522389961144022,0.015203206959785068,-0.98,-0.7,-0.87,0.03,-0.08,0.0
1952,0.021471137004036252,0.01829229327312231,0.02256914526968809,0.015520019600267618,0.00996175754820421,0.014784614467983691,0.02538160086876168,0.015145308058048736,0.015194809757468586,0.015155187737340859,0.015016322089227417,0.014810289253586703,0.01511469188001465,0.015381516110301351,0.015248149384663205,0.01526346109747026,0.014942975950198186,0.014740334033524424,0.014933095879861382,0.015287235501119694,0.015239716312056737,0.015247266526231316,0.015086623118432264,0.015002301489433037,0.01513209975681571,0.015258676792504585,0.015179814948770824,0.015134978198104228,0.01494104730536064,0.01506996199333291,0.01510725404068404,0.06,-0.01,-0.08,-0.08,0.0,-0.14
1953,0.00960037316274465,0.011688961785881651,0.02264992245390315,0.013107678970232092,0.017690476827213652,0.01456331338786419,0.011857787490641253,0.015077030029918188,0.015364616879999063,0.015651511478929327,0.015262966993108447,0.015224612186712172,0.014928255151979227,0.015280789695095215,0.01540932272659245,0.015392101480483018,0.015344211268633126,0.015254883681511927,0.015312139006546016,0.01539577715826516,0.015460992907801419,0.01540330580354655,0.015421755183186597,0.015343262886920152,0.01542255406151936,0.01517799996772927,0.01512583267654902,0.015108095465958397,0.015232761044016952,0.015250440580079412,0.015352467056164446,-0.15,-0.25,0.01,0.03,-0.18,-0.41
1954,0.011232960170588684,0.016609508797341625,0.014512967430639323,0.014817990784104937,0.012676169336506832,0.02131299633150902,0.012228764914978721,0.014102516355691281,0.014685388389877154,0.014531897457206506,0.014029742473703298,0.014297652404126376,0.014255751240137166,0.015185988363136501,0.015167562713698584,0.015000587271313755,0.014426233494638039,0.014552674750140743,0.014439738159414711,0.015418628033453681,0.015381560283687944,0.015068935923585335,0.014592445328031813,0.014740897751359585,0.014636618884085953,0.015323218252324836,0.015276983038770068,0.015075836187383396,0.0145750791605009,0.014778011338301804,0.014771418823830445,-0.43,-0.5,-0.52,-0.14,-0.12,-0.23
1955,0.012746553956286651,0.01453797980658629,0.019370368774771666,0.01516193778799672,0.015724868290856574,0.01599325882863636,0.01917616031620767,0.014766675356597517,0.014562424611493015,0.014491499013123722,0.014124047878128397,0.01407995730367062,0.014255751240137166,0.014789007785559388,0.014839459839056907,0.014760085685681209,0.013879094424044938,0.013911001071473972,0.014036628802464384,0.014784516246972258,0.014706382978723405,0.014712274718293375,0.014024424879295658,0.013933955777306746,0.014129747646465855,0.014887563398538136,0.014801939043218209,0.014844644690929228,0.014495520868140087,0.014294965709068519,0.01451554437289437,-0.42,-0.6,-0.45,-0.28,-0.2,-0.57
1956,0.01305117660498058,0.013249265113108678,0.011696536274340856,0.011746025763044073,0.02230363971866392,0.016078374628682324,0.014070161948508334,0.014611498019937183,0.014755653406096662,0.014953195516926948,0.01435618425825172,0.014529392349772826,0.014295701967573326,0.014706056620095512,0.014925802700804715,0.014989401151051776,0.014632930476862099,0.014540567699599861,0.014548036195610322,0.014675974589826791,0.014819858156028369,0.014834877007612487,0.014700369213291679,0.014661340091945923,0.014756217715434516,0.014543342279496791,0.014607602863219717,0.014715607576629227,0.014750107403694687,0.014873558825402892,0.014973986097488168,-0.5,-0.69,-0.57,-0.44,-0.43,-0.49
1957,0.015440560505673597,0.021838921313849954,0.010576425986558675,0.012570556251825746,0.018559623458936164,0.008026419944334267,0.010589719203814997,0.014145966009956176,0.015165532667377123,0.01568613871671457,0.015807036634022484,0.01575831630395854,0.015607417518393982,0.014771232535817127,0.015029414134902087,0.015319391698780155,0.015605622157916497,0.01584812915801517,0.015973960338852525,0.014904483341711988,0.015052482269503547,0.015286276345560125,0.015558080090883273,0.015763781943820925,0.015872473474687763,0.01506505241304383,0.015109637994882479,0.01511884855881673,0.015407789287210741,0.01540968639191456,0.015448419975265474,-0.37,-0.11,-0.07,-0.38,-0.26,-0.16
1958,0.016511499504988196,0.019602309035913604,0.009725572979493363,0.011067554960846581,0.011860508651351857,0.012639696306825437,0.018899613508974282,0.015281864114309832,0.015499291494419786,0.015599570622251464,0.015299238302502717,0.01511927584778197,0.015014815061424245,0.015944399018806215,0.015748937982800502,0.01548159044257885,0.015076721056343168,0.015230669580430163,0.015029360800924147,0.016127005164297794,0.01602836879432624,0.015720957189509704,0.01521726782164158,0.015371676336710745,0.01529156486528046,0.015667439371366183,0.015757425261544108,0.015645750108875065,0.015307015450220377,0.01528759793617428,0.015384451362531455,-0.26,-0.26,-0.57,-0.49,-0.39,-0.02
1959,0.008934011118726678,0.011412047884803817,0.012057341030501463,0.01215122360324535,0.001363891637472254,0.018146688569799212,0.00631336125781582,0.01479150373046317,0.015083556815121033,0.015437976845920335,0.015117881755531372,0.015351015793428416,0.015074741152578487,0.015162288030146824,0.015161806522915395,0.015073297053016618,0.014949055273204778,0.014885618640015011,0.014915046207162112,0.015452904346236461,0.015443971631205674,0.015286276345560125,0.014944618006248226,0.014900013070186903,0.01497832983079613,0.01539313816713011,0.01533096531099187,0.015242509126687565,0.01506303668698055,0.014958489925048305,0.014979316815216005,0.04,0.05,0.28,-0.13,-0.22,-0.23
